name,ticker,figi
ЭнергоТехСервис 001P-05,ru000a107d74,TCS00A107D74
Казахстан выпуск 11,ru000a101rz3,BBG00XH4W3N3
Банк Открытие БО-П выпуск 7,ru000a102r73,BBG00Z8KGGC3
ДОМ.РФ ИА 018P,ru000a102d46,TCS00A102D46
ПР-Лизинг 002P-01,ru000a1022e6,ISSUANCEPRLS
Урожай серия 3,ru000a106j04,TCS00A106J04
Азбука Вкуса выпуск 2,ru000a105wr1,TCS00A105WR1
Россети 1P-08R,ru000a105vq5,TCS00A105VQ5
Сегежа Групп 003P-04R,ru000a108991,TCS00A108991
Газпромбанк 1Р-26P,ru000a1064g3,TCS00A1064G3
ОФЗ 29017,su29017rmfs9,BBG00XV43CN9
НЗРМ БО-01,ru000a104ep6,BBG014LH73G8
Сбербанк,ru000a103661,BBG011K06JZ7
КарМани 002P-01,ru000a1087g4,TCS00A1087G4
ВТБ СУБ выпуск 1,ru000a102qj7,BBG00Z8KXRV9
РЕСО-Лизинг БО-П-25,ru000a108c74,TCS00A108C74
ГТЛК ЗО26-Д,ru000a107aq5,TCS00A107AQ5
ОФЗ 26241,su26241rmfs8,BBG01BJBR2W0
Газпром Капитал БО-001Р-07,ru000a105ge2,TCS00A105GE2
ГТЛК 1P-08,ru000a0zyr91,BBG00JYHMLM8
Совкомбанк 1В02,ru000a0zyx28,TCS10A0ZYX28
КЛВЗ Кристалл выпуск 1,ru000a105y14,TCS00A105Y14
Артген выпуск 1,ru000a103dt2,TCS00A103DT2
ПОЛЮС ПБО-04,ru000a108l81,TCS00A108L81
РЕГИОНСПЕЦТРАНС-01,ru000a109nm3,TCS20A109NM3
РЖД 001Р выпуск 2,ru000a0jxq44,BBG00GK3W839
Пионер-Лизинг-БО-П04,ru000a102lf6,BBG00YQ6NDD5
КИФА выпуск 1,ru000a106ev9,TCS00A106EV9
МФК ВЭББАНКИР 07,ru000a109890,TCS00A109890
ОФЗ 46023,su46023rmfs6,BBG0024TRF04
ИЛС БО-01-001P,ru000a107bh2,TCS00A107BH2
АПРИ Флай Плэнинг БО-П5,ru000a103n19,BBG012F27YT0
РусГидро БО-П06,ru000a1057p8,TCS00A1057P8
