name,ticker,figi
CNX Resources Corporation,cnx,BBG000CKVSG8
SLM Corp,slm,BBG000BBCQD7
Axcelis Technologies,acls,BBG000DW34S2
Amphastar Pharmaceuticals,amph,BBG000BW90S6
Remitly Global,rely,BBG012C7JST2
Medtronic,mdt,BBG000BNWG87
Arthur J. Gallagher & Co,ajg,BBG000BBHXQ3
Guidewire Software Inc,gwre,BBG001C7PM75
Paycom Software Inc,payc,BBG0064N0ZZ5
nCino,ncno,BBG014GJ8XH2
Denali Therapeutics Inc,dnli,BBG008P7F869
Mettler Toledo,mtd,BBG000BZCKH3
TreeHouse Foods Inc,ths,BBG000GQGJT4
Amphenol,aph,BBG000B9YJ35
Avnet,avt,BBG000BCPB71
Domino's Pizza Inc,dpz,BBG000P458P3
Citigroup,c,BBG000FY4S11
Ryder System,r,BBG000BRVP70
International Paper,ip,BBG000BM5SR2
Kirby Corp,kex,BBG000BMQCP6
Edgewell Personal Care Co,epc,BBG000BRW644
Winnebago Industries Inc,wgo,BBG000BWS3F3
BioCryst Pharmaceuticals,bcrx,BBG000BLYWX6
Mesa Laboratories Inc,mlab,BBG000BP3PW7
Vontier Corporation,vnt,BBG00RRGSJR4
Ethan Allen Interiors Inc,etd,BBG000BBVDT8
Красногорский завод им. С.А. Зверева - привилегированные акции,kzizp,TCS007940839
Organon & Co.,ogn,BBG00ZQRGW24
Bristol-Myers Squibb,bmy,BBG000DQLV23
Avantor Inc,avtr,BBG00G2HHYD7
Willis Towers Watson,wtw,BBG000DB3KT1
Apple Hospitality REIT,aple,BBG006473QX9
Chemed Corp,che,BBG000C19QW1
Corteva Inc,ctva,BBG00BN969C1
TG Therapeutics,tgtx,BBG000FVZQY1
Papa John's International Inc,pzza,BBG000BFWF13
Группа Аренадата,data,TCS00A108ZR8
Dollar General,dg,BBG000NV1KK7
Dillard's Inc,dds,BBG000BS4MP5
RH,rh,BBG002293PJ4
BorgWarner,bwa,BBG000BJ49H3
CNH Industrial N.V.,cnh,TCS110545661
Iron Mountain REIT,irm,BBG000KCZPC3
Fate Therapeutics Inc,fate,BBG000QP35H2
ABM Industries,abm,BBG000B9YYH7
Watsco Inc,wso,BBG000DJN7L9
Haier Smart Home,6690,BBG00Y6QRDM9
Central Garden & Pet Co,centa,BBG000KTYB56
CEL SCI Corporation,cvm,BBG000H5G6L5
Sanofi,sny,BBG000BBD5N1
Fulgent Genetics,flgt,BBG00DR7LTG2
Bank of Hawaii,boh,BBG000C8D8G9
DexCom Inc,dxcm,BBG000QTF8K1
